楼层,时间,点赞数,uid,用户名,性别,评论内容
,2023-04-06 21:13:57,0,280066012,清影的猫叫清梦,保密,"回复 @绵羊料理 :请我吃请我吃[doge]开个玩笑",
,2023-04-06 21:25:29,0,19167277,小李飞机123,保密,"你娶回家就能天天吃到[偷笑]",
,2023-04-06 21:26:54,2,879396,Engh12,男,"回复 @绵羊料理 :[吃瓜]不要小看乐子人的力量哟，要不要试试呢？",
,2023-04-06 21:35:23,0,26100670,穆穆小札,男,"抓住",
,2023-04-06 21:39:33,0,6681907,先生名水月,男,"@九幽琉璃",
,2023-04-06 21:47:46,0,191150222,金叶王朝,保密,"回复 @Engh12 :100万，这数字也太狠了吧？[脱单doge]",
,2023-04-06 21:57:25,0,8271301,远酱不是变态,保密,"回复 @Engh12 :张牧：我谢谢你[无语][无语][无语]",
,2023-04-06 22:21:14,0,170971941,iZaiZaiA,男,"什么好吃？[doge]",
,2023-04-06 23:14:23,0,271251847,說影月,保密,"那个菜谱在哪里？我找不到。",
,2023-04-06 23:34:16,0,7198901,岚少的岚色小浣熊,保密,"回复 @Engh12 :错啦，该让张牧来学",
,2023-04-07 00:02:39,0,3727086,爱吃点不听话的小孩,男,"去绵羊家喝特色小饮料",
,2023-04-07 00:02:42,0,65800331,一枚躺平的老咸鱼,男,"逮到一只狒狒[吃瓜]",
,2023-04-07 00:19:26,0,225082584,水平面对,保密,"来哦",
,2023-04-07 00:38:15,0,1862070,moti1e,男,"回复 @十年雪落梦如花 :是王师傅假装的毛毛[妙啊]",
,2023-04-07 00:59:52,0,896826,_西瓜鱼_,男,"居然不是高仿（
[doge]",
,2023-04-07 03:43:33,0,421235841,haoAXE,保密,"回复 @耀耀睡不醒 :分分钟给你做一个仰望星空蛋挞",
,2023-04-07 07:37:18,0,1620578958,happy_皮皮吖,男,"点赞100w来绵羊料理姐姐家一起吃好吃的",
,2023-04-07 11:21:31,0,2548381,schwarz★Phantom,男,"回复 @绵羊料理 :这已经是在明示了[滑稽]",
,2023-04-07 12:07:54,0,5673196,衣衿环香,保密,"一看就是毛毛发的评论",
,2023-04-07 13:21:35,0,386869867,icy_pz,男,"姐姐？大姨！[妙啊]",
,2023-04-07 14:05:22,0,8554219,过流保护,保密,"快去吃糠[doge]",
,2023-04-07 14:21:11,0,515069890,我走过那条巷子,保密,"我天 王师傅和毛毛 好久不见",
,2023-04-07 17:49:48,0,335396709,我-是-正-经-人,保密,"回复 @一定是草莓味的哟 : 是张哥~~~~~",
,2023-04-07 18:17:07,0,23665359,橙子吃太多,男,"回复 @小火龙Z :错了，中年男员工罢了",
,2023-04-07 18:45:38,0,3461564621392223,小潮院长的狗,保密,"小傲:第四步，留下给绵羊刷完",
,2023-04-07 19:52:21,0,3231498,折祈子,保密,"回复 @Engh12 :让王师傅学啊，学会了就可以给毛毛做这个感情不就升温了",
,2023-04-07 19:54:46,0,372209798,MMZZ读书人,女,"不在家不吃饭[脱单doge]",
,2023-04-07 22:06:32,0,434458165,流浪的战战,男,"吃独食还好意思在这里秀？有本事你把她的电话号码私聊发给我呀",
,2023-04-07 22:45:40,0,15868330,鱻鱼鱼雨,保密,"回复 @绵羊料理 :那就1w好了",
,2023-04-08 09:00:20,0,18292478,沫希尔顿,女,"其实就一步，直接到绵羊姐家吃就行[脱单doge]",
,2023-04-08 10:23:07,0,1900995335,丸星古界official,男,"问一下，美食区有四个字的吗？",
,2023-04-08 14:09:22,0,479010104,大于_Shirasagi,保密,"回复 @Engh12 :毛毛怕不是会用牛蛋给你整一个吧（半恼",
,2023-04-08 17:02:22,0,355371637,没聊的_,保密,"回复 @绵羊料理 : 既然你的料理配方是白嫖的，那我们白嫖这个视频不过分吧",
,2023-04-08 21:28:27,0,19283850,蜗牛喔喔喔,保密,"l l",
,2023-04-08 22:39:32,0,751686,红烧小鸡腿,保密,"我知地址哦   [辣眼睛]",
,2023-04-08 22:39:59,0,751686,红烧小鸡腿,保密,"回复 @红烧小鸡腿 :楼上",
,2023-04-09 13:31:47,0,448093450,伊鑫海,男,"up主觉得很淦",
,2023-04-10 00:36:09,1,29405796,FY测试员,保密,"这语气  你一定是王师傅",
,2023-04-10 09:24:18,0,3493273802902399,看我干嘛赶紧结婚啊,保密,"我查了很多相关的案例，总结出一个比较普遍的结论：
【以下均有案例支持，绝非虚构】

女性结婚一年左右提出离婚，根据法律规定，几乎不需要退还任何婚姻馈赠（包括车房、彩礼、五金、酒席等）也就是说，	
1，你为婚姻支付的所有前期费用，离婚时法律不支持你找回。
2，你老婆可以随意和别人发生关系，只要不是同居，离婚时分割（她70%+）财产，法律不会向你倾斜。
3，你老婆可以完全拒绝跟你发生性关系（一直），如果你强上，反而会触犯法律。
4，你老婆可以生孩子，或不生孩子，或者生一半不想生全都不经过你同意，而生下来你不支付抚养费她将有权利起诉！（意外怀孕后自行人流，不需要问你意见）
5，不做家务，不工作，不带孩子，……这些法律上统统没有强制规定，她婚后可以拒绝你的任何要求，如果你不赚钱养家她将有权利起诉你。
6，最近微博热搜榜第一还有一条：严格限制老婆乱花钱也属于家暴……属实把我给整笑了……以上。
7，亲子鉴定单丈夫做没有法律效应，望周知。
8，离婚后只要她没有房子，她可以强制住你家里，以此为理由起诉法律不会同情你。

我根据离婚总结了一些事实
1，离婚时平均分配为50%你/她70%+
2，如果是因为孩子不是你而离婚，而你不能提供双方的亲子鉴定，你需要供养那个孩子一辈子。

【根据某乎要求，此处删除计算过程。】简单来说：你从认识一个女人，到娶她为妻满一年为止，花费超过***，你就血亏。
因为一旦超过***，你是不需要娶老婆的。【根据某乎要求，此处删除逻辑解释一大堆】我建议所有男人都别结婚，都不要再幻想一辈子了，事实上，按法律规定，你的婚姻保修期只有一年。——————多的我就不说了，我真的是被人逐句逐字举报。你们还能看到这篇千苍百孔的答，就知道我是冒着枪林弹雨才保留住的。来源:bh 帝释天",
,2023-04-10 10:04:04,0,393038843,文辉的文,男,"吃到好吃蛋挞的三步：
1、打电话给绵羊姐姐
2、驱车前往敲门
3、砸门
4、破门
5、啊 牢饭好好吃~
【今日做梦素材】",
,2023-04-10 15:26:46,0,3493276462090817,噗噗老师羊,保密,"琪琪在袄袄叫[喜欢]......................别说难长情你孤军奋战而他只当逢场作戏本就无情何来长情[热词系列_洛水天依]",
,2023-04-10 18:55:47,0,80984118,zco白日梦想家,男,"回复 @Engh12 :有儿子吗？  不是离婚很久了吗",
,2023-04-10 19:31:50,0,879396,Engh12,男,"回复 @zco白日梦想家 :[保卫萝卜_问号]离婚前就有了，虎头虎脑的可爱男孩",
,2023-04-10 20:31:48,0,80984118,zco白日梦想家,男,"回复 @Engh12 :孩子都有了  还是执着的离婚  那看来确实王师傅确实触怒了毛毛的底线了  我都不知道还有孩子",
,2023-04-10 21:19:35,0,879396,Engh12,男,"回复 @zco白日梦想家 :他俩都有各自的课题",
,2023-04-10 22:01:45,0,381427715,lin啊东,男,"之所以网上的配方不对，是翻译的问题，当然除了翻译之外国产的原料即便同款品名里面实际的东西都是天差地别的",
0,2023-04-06 17:33:35,7068,556214167,吉比特游戏,保密,"我做蛋挞只要3步，大家跟我学[脱单doge]
1、把买好的蛋挞液倒进买好的蛋挞皮里；
2、放进空气炸锅；
3、把烤好的蛋挞拿出来~",
,2023-04-06 17:39:05,0,74106284,击画冷圈人,男,"在？抽个648[doge]",
,2023-04-06 17:43:47,0,402764600,黑眼圈黑到肚脐眼,男,"抽个扶持号[doge][doge]",
,2023-04-06 17:45:20,3,667789207,邪恶退散-正义必胜,保密,"《懒人蛋挞》",
,2023-04-06 18:14:23,53,18202105,绵羊料理,女,"省流了",
,2023-04-06 18:25:23,11,68413411,是男人就坚持5秒,男,"没有烤箱用什么代替",
,2023-04-06 18:26:51,344,4227925,心本无念,保密,"你的太麻烦了，我建议买两个蛋挞，将A蛋挞液勺出来，放到蛋挞壳里，再反过来，一次就可以做两个了，这何尝不是一种...",
,2023-04-06 18:34:32,16,499160412,比丘飞白鹿,男,"回复 @是男人就坚持5秒 :空气炸锅[doge]",
,2023-04-06 18:42:47,0,68413411,是男人就坚持5秒,男,"回复 @比丘飞白鹿 :也木有[保卫萝卜_白眼]",
,2023-04-06 19:09:39,3,51275516,望向星空时,保密,"回复 @是男人就坚持5秒 :微波炉",
,2023-04-06 20:41:44,11,13487702,卜亦安,保密,"回复 @是男人就坚持5秒 :用购买成品代替[脱单doge]",
,2023-04-06 21:48:41,14,19979899,机智天啊,保密,"我只要两步
1、打开手机外卖
2、下单",
,2023-04-06 21:52:11,1,275267505,T_Monchhichi,女,"你骗人 明明是6步 打开手机App下单 取快递 拆快递[吃瓜]",
,2023-04-06 22:43:54,0,360278044,徽辻,男,"回复 @是男人就坚持5秒 :不是说了吗，空气炸锅[脱单doge]",
,2023-04-06 22:49:00,1,3493124208855597,暴食双头哥布林,保密,"回复 @是男人就坚持5秒 :可以直接用锅蒸，但是外皮不是脆的，会更像包子皮包布丁，还是建议花几十块钱入手一个空气炸锅",
,2023-04-06 22:53:17,0,481245455,翌然,女,"回复 @是男人就坚持5秒 :体温或者岩浆吧[思考]",
,2023-04-06 23:13:47,1,84502876,雪落1020,保密,"回复 @是男人就坚持5秒 :疯狂星期四的蛋挞很便宜",
,2023-04-07 00:27:51,0,15250378,今天也活着真了不起呢,女,"回复 @是男人就坚持5秒 :空气炸锅啊",
,2023-04-07 02:50:05,0,65245229,薇拉小姐的貓,女,"回复 @是男人就坚持5秒 :热水器吧",
,2023-04-07 06:49:28,0,477941284,小2兔再見,男,"我做蛋挞只有三步，去面包店，打包走人[doge]",
,2023-04-07 09:25:07,0,4850706,羊羊桑,保密,"回复 @是男人就坚持5秒 :省流 去开封菜买一个",
,2023-04-07 09:32:56,0,11757704,琴喵喵好的谁不爱呢,保密,"我只需要一步
[VirtuaReal皓月表情包_妈！]",
,2023-04-07 10:57:32,0,182879173,Mo-茉沫,女,"回复 @是男人就坚持5秒 :肯德基[doge]",
,2023-04-07 12:52:31,3,97330954,佐鼬相邻,女,"回复 @心本无念 :菲克力？人家好歹要加热的",
,2023-04-07 14:22:55,0,11500149,-四方,男,"我会画原画，抽个HC[脱单doge]",
,2023-04-07 14:41:27,0,259201809,吃糖的良公子,男,"回复 @心本无念 :你搁这搁这呢",
,2023-04-07 14:54:26,0,512718497,鐘意鸭,保密,"回复 @是男人就坚持5秒 :空气炸锅",
,2023-04-07 16:55:05,0,250944886,o永恒之月o,保密,"回复 @是男人就坚持5秒 :空气炸锅也许可以",
,2023-04-07 17:29:56,0,105094992,茜言い,女,"为什么现在没有看视频这么糊了，练美食都是马赛克呜呜呜",
,2023-04-07 17:58:27,0,14045735,秋葉-蝼蚁版,男,"回复 @是男人就坚持5秒 :空气炸锅[doge]",
,2023-04-07 18:28:34,1,526063226,无忌长恭,男,"而我做蛋挞只要两步[脱单doge][脱单doge]
第一步：收藏
第二步：妈！",
,2023-04-07 18:28:46,0,236476890,刚刚好纠结2333,保密,"回复 @是男人就坚持5秒 :KFC",
,2023-04-07 18:44:17,1,393961490,化舸随云,保密,"什么胡一菲做法[傲娇]",
,2023-04-07 19:02:22,1,48723952,肥龙丶宅天,保密,"买过一次蛋挞液，个人觉得不好吃，还不如鸡蛋、牛奶、糖搅匀装在蛋挞皮烤",
,2023-04-07 19:31:49,0,298975834,星音渊折,男,"回复 @是男人就坚持5秒 :试试直接上锅蒸[doge]。",
,2023-04-07 19:33:50,0,189672841,他与她与她的未来,男,"回复 @是男人就坚持5秒 :放太阳底下晒一晒直接吃。[doge]",
,2023-04-07 19:58:39,0,45520113,潶糖あ逗逗,保密,"回复 @是男人就坚持5秒 :没有烤箱那就用空气炸锅",
,2023-04-07 20:02:47,0,51679985,温温小公举ovo,保密,"回复 @是男人就坚持5秒 :肯德基宅急送代替",
,2023-04-07 20:45:08,20,19062987,彭兴兴,保密,"回复 @心本无念 :出院",
,2023-04-07 20:52:32,0,1168552064,向着大佬进发,保密,"回复 @是男人就坚持5秒 :车，直接去[无悔华夏_点赞]",
,2023-04-07 22:17:27,1,349628956,kk不困-,女,"回复 @心本无念 :菲克力[脱单doge]",
,2023-04-07 22:19:42,0,96109964,烧饼鱼饼,保密,"电饭煲无水焗[doge]",
,2023-04-07 23:39:49,0,437089890,南河之北,保密,"回复 @是男人就坚持5秒 :空气炸锅",
,2023-04-08 00:18:03,1,33419745,洒满月光点亮花蕊_,保密,"回复 @心本无念 :不如都吃了，让胃帮你分类[doge]",
,2023-04-08 00:58:15,0,490556999,冲冲冲冲冲冲冲冲呀呀,保密,"回复 @是男人就坚持5秒 :电饼铛也可以我看网上有",
,2023-04-08 09:17:16,0,1777282043,无钱买猫粮,保密,"回复 @是男人就坚持5秒 : 铁锅。网上有个烧烤红薯的铁锅的。可以用气炉烧的。",
,2023-04-08 10:38:45,0,327832737,黑风琴_嘿嘿,保密,"游戏不好好做。做吃的就很认真是吧？",
,2023-04-08 11:20:18,0,77471586,非非非非常小的小包子,男,"回复 @是男人就坚持5秒 :农村冬天室内取暖用的铁炉子有吗，加上锡纸壳放在炉子上烤就行了，就像烤花生一样。",
,2023-04-08 11:25:06,0,433020403,今天你汪了嘛,保密,"回复 @是男人就坚持5秒 : 用空气炸锅[脱单doge]",
,2023-04-08 11:29:21,0,3473244,淡江,男,"回复 @是男人就坚持5秒 :美团或者饿了么",
,2023-04-08 12:00:43,0,438998795,咕咕鸟头,男,"美团或者饿了么[tv_斜眼笑]",
,2023-04-08 17:49:32,0,670859555,芷落青寒,男,"回复 @是男人就坚持5秒 :空气炸锅",
,2023-04-08 18:05:16,0,1288869863,琴吹紬的紬壮壮,女,"回复 @心本无念 :出院！",
,2023-04-08 18:13:56,0,321420450,XAKU_PRIME,男,"回复 @心本无念 :我知道我知道，是ntr[妙啊]",
,2023-04-08 19:04:03,0,31003165,CoolX89,男,"话说这么大的会不会吃腻",
,2023-04-08 19:41:40,0,141374745,按时吃饭睡觉_,保密,"在？ 把你那个乱找做成手游不行吗[鼓掌]",
,2023-04-08 22:48:09,0,24481919,你们把我的名字改了,保密,"第一步，打开外卖app",
,2023-04-09 11:31:10,0,351692808,181大帅哥江,保密,"回复 @是男人就坚持5秒 :空气炸锅",
,2023-04-09 11:38:33,0,409660515,Kelper452b,保密,"在？抽个啥[脱单doge]",
,2023-04-09 18:02:48,0,701083885,一包包2,保密,"嗯？不对呀，这是个官方吧，有个事情想问一下，你炫福建人吗？[脱单doge][脱单doge][脱单doge][脱单doge][脱单doge][脱单doge][脱单doge]",
,2023-04-10 19:25:36,0,28250550,肥えた家,保密,"在？抽个648[doge]",
,2023-04-11 00:14:32,0,4131586,绿海蓝树,保密,"在？抽个offer",
0,2023-04-06 17:36:39,5334,1010614805,平安银行信用卡,保密,"可以做个更大的吗[喜欢][喜欢]，想在蛋挞里泡澡[脱单doge]",
,2023-04-06 17:39:07,1,1173290226,hihi阿晴陪你熬夜丶,保密,"[脱单doge]",
,2023-04-06 17:40:01,2,499357124,天秤座Daisy,女,"捉~",
,2023-04-06 17:41:34,68,667789207,邪恶退散-正义必胜,保密,"在？抽个卡[脱单doge]",
,2023-04-06 17:41:39,7,34730486,祢豆子的竹筒,保密,"在？抽个信用卡？",
,2023-04-06 17:46:07,5,3585732,_听说改名才能中奖_,男,"在？抽一张不用还（huán），随意刷的信用卡？[脱单doge]",
,2023-04-06 17:48:11,3,363376207,好客圣安德翁欢迎您,男,"在？抽个小目标？[脱单doge]",
,2023-04-06 17:49:38,3,7540152,一株将离,保密,"回复 @祢豆子的竹筒 :[妙啊]要还的",
,2023-04-06 17:51:14,2,628911318,直八禾乃酱,保密,"你和平安小财娘是什么关系[doge]",
,2023-04-06 17:51:37,2,1848331,阳冬三月,男,"[doge]不用抽，一人一张，银行巴不得都去开信用卡呢……",
,2023-04-06 17:53:35,6,1365614457,ETO_一个过路人而已啊,保密,"在？抽个银行",
,2023-04-06 17:54:20,284,18202105,绵羊料理,女,"不愧是你啊，这么骚的话一般人想不到[doge]",
,2023-04-06 17:54:22,4,9575607,神一般的八腹肌男子,男,"得加钱",
,2023-04-06 17:55:36,1,335825337,鲁青刘律师,保密,"在？抽个不用还的信用卡[脱单doge]",
,2023-04-06 17:55:41,2,359321843,锤子眼里的都是钉子,保密,"在？抽个无限额度不用还？[doge]",
,2023-04-06 17:57:02,2,470877673,Acccccron,男,"回复 @绵羊料理 :绵羊还不快安排上！[热词系列_肥肠自信]",
,2023-04-06 18:02:21,3,580335063,强迫症五英寸,保密,"多浪费鸡蛋呀[呲牙]",
,2023-04-06 18:03:00,1,204879414,温柔以待iii,保密,"在？抽个陈平安？",
,2023-04-06 18:04:26,4,352018479,格桑de妄想症,保密,"劝你不要太离谱！不过我也想看[捂眼]",
,2023-04-06 18:05:56,1,11135949,今天也努力早起了,女,"在？抽个XUN签名？",
,2023-04-06 18:07:17,1,1494482992,阿甘O_o,保密,"在？抽个银行？",
,2023-04-06 18:11:39,1,28878773,我会生蛋哦,男,"刚出炉警告[滑稽]",
,2023-04-06 18:12:25,1,108662140,何以忆笙默,保密,"那要冷却后不然煮熟你",
,2023-04-06 18:15:32,1,13194436,Vlogger马先生,男,"给你满浴缸的蛋挞液体验一下[脱单doge]",
,2023-04-06 18:15:45,1,488889163,不知道不知道unknown,保密,"抽个泡完澡的小姐姐[脱单doge]",
,2023-04-06 18:16:59,1,7825834,魂游宇宙的咸鱼,保密,"在抽个8百万？",
,2023-04-06 18:23:49,1,1201869602,黑夜的一束光呀,保密,"在，抽个offer",
,2023-04-06 18:30:19,2,1136197064,一只星空酱,保密,"一起烤了😋😋",
,2023-04-06 18:31:41,1,393206529,定制版微笑,男,"直接跳到搅拌车里就行了[doge]",
,2023-04-06 18:40:05,2,14748384,June1134,男,"你确定？烫s你丫的[doge]",
,2023-04-06 19:50:53,1,412985564,10962534517_bili,男,"你泡过澡的蛋挞可以给我吃吗[喜欢][喜欢][脱单doge][脱单doge]",
,2023-04-06 19:50:54,1,3206325,Biu十四,男,"回复 @祢豆子的竹筒 :这个不兴抽啊[笑哭]",
,2023-04-06 19:53:16,1,1425255049,没天线的七幺,男,"在这里都能捉到？！",
,2023-04-06 20:06:02,1,1531274,Skylar_Yang,女,"在？抽个offer？",
,2023-04-06 20:50:33,1,361745534,浅白色x,保密,"那还不先打钱",
,2023-04-06 21:24:52,1,39942739,丨尐凌,保密,"有没有可能你问的这个东西叫火山？是不是害挺像的，去吧",
,2023-04-06 21:43:07,1,489091520,筒洗衣机Wa,女,".. .. . .. .. . .. .. ..",
,2023-04-06 21:49:45,1,191150222,金叶王朝,保密,"这么大的模具，恐怕不是普通的up主做得到的了，得一个团队造模具，然后再做蛋挞",
,2023-04-07 00:20:43,1,7247029,无敌小么么,男,"今天你才把卡寄给我，要不要给我个免还款",
,2023-04-07 00:44:42,1,86521859,三亿她的梦,保密,"我要办卡",
,2023-04-07 00:55:48,1,485760218,瑀sir,保密,"@社区小助手 @哔哩哔哩社区小管家 在？抓到一名冒充官方招摇撞骗",
,2023-04-07 01:53:24,1,7779848,笔挺梆硬老咸鱼,保密,"我想起了我家的名菜，昂公鱼炖蛋[藏狐]",
,2023-04-07 13:11:52,1,493159847,小虎麟,男,"可以连你一起吃了吗[星星眼]",
,2023-04-07 17:40:08,1,1559535933,无胄白金,保密,"主打的就是一个财大气粗[OK]",
,2023-04-07 22:44:10,1,9630580,反常函数IO,男,"抽个atm机[doge]",
,2023-04-10 18:25:27,0,359446263,汪猹猹,男,"办卡找我[脱单doge]",
,2023-04-10 18:32:21,0,494185952,物化地生史,男,"然后被我一口吃掉[大笑]",
0,2023-04-06 17:44:45,2237,27447259,无人拾你的梦,男,"我这有批胰岛素很便宜、大姨有需要就私信我[响指]",
,2023-04-06 17:56:23,59,18202105,绵羊料理,女,"太毒了[doge]",
,2023-04-07 07:47:36,27,405353674,涣杉,保密,"《药神》",
,2023-04-07 07:48:26,4,27447259,无人拾你的梦,男,"回复 @涣杉 :《食神》啦[嫌弃]",
,2023-04-07 13:59:01,2,20873425,likechick,保密,"回复 @无人拾你的梦 :药神win麻了
[doge]",
,2023-04-07 14:23:15,1,393222106,左梓轩之父,男,"回复 @无人拾你的梦 :我这有批牛肉好便宜，你要的话call我[OK]",
,2023-04-07 23:48:08,3,18385224,Viktor_维克托,男,"先把牙齿🦷保住再说，记得有一期做个检查，发现了6颗虫牙，医药费花了2208元。[微笑]BV1hq4y1S7rP",
0,2023-04-06 17:30:53,2681,27835194,艾尔克啦啦啦,保密,"可以说是大姨4月最好的视频了[doge]",
,2023-04-06 17:31:52,17,1173290226,hihi阿晴陪你熬夜丶,保密,"这才几天啊",
,2023-04-06 17:32:41,173,192276886,小祝太志的小虎牙,保密,"回复 @qing1y :这是指4月没第二个视频里[doge]",
,2023-04-06 17:34:24,16,237696909,草根信差,男,"月更up是这样的",
,2023-04-06 17:35:41,21,667789207,邪恶退散-正义必胜,保密,"作为老粉我确定大姨四月里就只有这一个视频了[兔年][兔年][兔年]",
,2023-04-06 17:36:58,7,35188533,北方竹田鸡呀,男,"你他娘的还真是个天才[脱单doge]",
,2023-04-06 17:37:49,6,696643263,lliilllliiiill,女,"月更up是吧[tv_doge]",
,2023-04-06 17:41:37,1,1764406252,Rt-Ivan,男,"你没说是哪年，那应该就是所有年份加在一起吧！[傲娇]",
,2023-04-06 17:54:30,29,18202105,绵羊料理,女,"[热词表情_世萌双冠]",
,2023-04-06 18:50:16,0,612900291,是凤璟煦,男,"回复 @绵羊料理 :[脱单doge]",
0,2023-04-06 17:40:07,1117,179276802,人心陌路,保密,"说实话，不要轻易尝试！！[捂眼][捂眼][捂眼]
我之前做过（比这小一点点），翻车到第六次，要不就是外壳糊了，要不就是有分层，要不就是内陷不熟[囧][囧][囧]这辈子不想再做了[热]",
,2023-04-06 17:41:01,20,179276802,人心陌路,保密,"当然，成功工伤两天涨了三斤多[灵魂出窍]",
,2023-04-06 17:43:12,0,26015751,一定是草莓味的哟,男,"我以为只有美食博主会做。。。",
,2023-04-06 17:46:08,0,179276802,人心陌路,保密,"回复 @一定是草莓味的哟 :去年暑假沉迷于各种烘焙[脱单doge]",
,2023-04-06 17:55:24,196,18202105,绵羊料理,女,"所以说今朝有酒今朝醉，没事不要玩烘焙[doge]",
,2023-04-06 17:58:35,9,1178779817,感冒泥奏凯,男,"回复 @绵羊料理 :被小潮传染的押韵技巧是吧[脱单doge]",
,2023-04-06 18:30:43,8,23214650,暮色中の野风,男,"外皮买现成的，推荐俏侬的。内馅参考@马壮实Hera 的配方，百分百不翻车",
,2023-04-06 18:32:59,11,1542702689,不骄傲的香蕉,男,"回复 @绵羊料理 : 翻车会让人乏味，烘培使人很劳累[脱单doge][脱单doge][脱单doge]",
,2023-04-06 19:56:19,0,171300161,往事ya,男,"看看一楼的笔记真的牛批",
,2023-04-07 09:47:19,2,687154152,是椰羊不是椰奶,保密,"翻车多了，宝剑嫂和雨哥就有口福了QwQ",
,2023-04-07 14:42:50,2,14362813,莫里亚帝博士,男,"借楼提醒大家，绵羊用的是专业万能烤箱，用家用烤箱复刻需要以经验弥补你设备的差距。",
,2023-04-08 05:45:44,0,475063013,小狗院长____,保密,"回复 @感冒泥奏凯 :这句话很早以前就有了",
0,2023-04-06 17:33:35,489,523637998,小灰灰之声,保密,"这蛋挞也太大了点吧[tv_doge][tv_doge]这一个能吃两三顿了吧",
,2023-04-06 17:37:06,0,1173290226,hihi阿晴陪你熬夜丶,保密,"[星星眼]",
,2023-04-06 17:38:19,1,1616636278,反骨沸腾鱼,保密,"艾美之子[星星眼][星星眼]",
,2023-04-06 17:38:23,0,519535933,最爱怡宝啦,男,"艾美之子胃口这么小吗[doge]",
,2023-04-06 17:39:37,0,351358707,繁花云岚,女,"蹭个喽[doge]",
,2023-04-06 17:41:54,0,1388369204,高山流水觅-只因,保密,"一顿吃两三个[doge]",
,2023-04-06 17:55:45,62,18202105,绵羊料理,女,"我看成了，这一顿能吃2,3个吧[doge]",
,2023-04-06 17:56:14,30,1178779817,感冒泥奏凯,男,"回复 @绵羊料理 :鹰逃小口是吧[妙啊]",
,2023-04-06 17:58:20,0,25244744,尾巴与小埋的日常,女,"懒羊羊表示我能吃十个",
,2023-04-06 18:03:24,0,523637998,小灰灰之声,保密,"回复 @反骨沸腾鱼 :是狼王之子[喜羊羊·筐出未来_比心]",
,2023-04-06 18:03:30,0,523637998,小灰灰之声,保密,"回复 @绵羊料理 :[tv_笑哭]",
,2023-04-07 21:06:11,0,472336118,秋默孑,保密,"回复 @绵羊料理 :我也是这么看的",
0,2023-04-06 17:54:50,1083,22124566,LUuJgYy,保密,"想象了一下味道，没有酥皮做过渡，残留的大量蛋挞内陷就会吃了人绝望，仿佛解决完一整个三十厘米的西瓜后，还要再吃十个",
,2023-04-06 17:55:59,21,89781574,周周九条命丶,保密,"感觉适合好几个人一起吃",
,2023-04-06 17:58:20,14,22124566,LUuJgYy,保密,"回复 @周周九条命丶 :那为什么不做几个小的，内陷或加榴莲，或加巧克力，或加草莓酱？酥皮超级便宜的",
